league,season,team,player,nation_,pos_,age_,Playing Time_Min,Playing Time_90s,primary_role,secondary_role,role_confidence,role_ambiguity,primary_role_similarity,secondary_role_similarity,finishing_index_role,chance_creation_index,ball_progression_index,passing_security_index,passing_volume_index,crossing_width_index,availability_index_role,discipline_risk_index,role_fit_explainability_score,role_explainability_quality,dominant_tactical_dimension,dominant_tactical_score,role_explanation_text
ENG-Premier League,1920,Aston Villa,Matt Targett,ENG,"DF,MF",23.0,2291,25.5,Ball Winner,Creative Playmaker,21.5,78.5,62.6,41.1,68.73595540262207,81.23015873015873,82.1938775510204,49.18925964546403,81.1309523809524,73.92857142857142,84.92857142857142,40.53571428571429,72.10390287501862,High,availability_index_role,84.92857142857142,Rol explicado principalmente por: Availability P85 · Ball Progression P82 · Passing Security P49
ENG-Premier League,1920,Aston Villa,Mbwana Samatta,TAN,FW,26.0,943,10.5,Box Finisher,Creator Forward,3.6,96.4,29.0,25.3,30.491392541275566,29.033889731917043,38.46737481031867,43.09783906400159,42.45068285280728,38.998482549317146,45.49317147192716,52.010622154779966,35.00615124837326,High,discipline_risk_index,52.010622154779966,Rol explicado principalmente por: Availability P45 · Finishing P30 · Chance Creation P29
ENG-Premier League,1920,Aston Villa,Neil Taylor,WAL,DF,30.0,1091,12.1,Aggressive Defender,Aerial Defender,16.6,83.4,41.6,25.0,27.948609941027797,49.78253733792877,44.946191179573745,36.54140767408385,32.00393894633186,49.990768094534715,37.36336779911373,56.29615952732644,39.61698888425711,High,discipline_risk_index,56.29615952732644,Rol explicado principalmente por: Ball Progression P45 · Availability P37 · Passing Security P37
ENG-Premier League,1920,Aston Villa,Pepe Reina,ESP,GK,36.0,1080,12.0,,,,,,,50.4375,46.16319444444444,43.4375,55.392592317120794,43.958333333333336,50.0390625,42.53125,44.296875,,No role assigned,passing_security_index,55.392592317120794,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Aston Villa,Tom Heaton,ENG,GK,33.0,1794,19.9,,,,,,,50.4375,41.354166666666664,46.38392857142857,42.57951748967618,54.53125,50.0390625,53.1875,62.5,,No role assigned,discipline_risk_index,62.5,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Aston Villa,Trézéguet,EGY,"FW,MF",24.0,1950,21.7,Attacking Progressor,Ball Winner,2.3,97.7,43.2,41.0,63.697402835241306,49.03993855606759,61.81698485845951,34.77208391883762,59.04377880184331,82.17165898617512,78.08755760368665,8.640552995391701,56.6335674054568,High,crossing_width_index,82.17165898617512,Rol explicado principalmente por: Ball Progression P62 · Passing Volume P59 · Chance Creation P49
ENG-Premier League,1920,Aston Villa,Tyrone Mings,ENG,DF,26.0,2902,32.2,Aerial Defender,Aggressive Defender,8.7,91.3,45.7,37.0,73.15900483007596,51.96947316592811,59.6381093057607,54.98803472285322,75.0,49.20605612998523,87.62924667651403,31.868537666174298,67.41846356837598,High,availability_index_role,87.62924667651403,Rol explicado principalmente por: Availability P88 · Ball Progression P60 · Passing Security P55
ENG-Premier League,1920,Aston Villa,Wesley Moraes,BRA,FW,22.0,1782,19.8,Box Finisher,Creator Forward,12.4,87.6,55.7,43.2,50.933436981870734,40.4232001348845,51.680034684587035,55.83162462224053,62.84774911482043,43.30424886191199,64.85584218512899,37.70864946889226,52.07082643396141,High,availability_index_role,64.85584218512899,Rol explicado principalmente por: Availability P65 · Finishing P51 · Chance Creation P40
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,NOR,GK,28.0,539,6.0,,,,,,,50.4375,41.354166666666664,53.4375,20.00871441323075,28.75,50.0390625,31.28125,62.5,,No role assigned,discipline_risk_index,62.5,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,ENG,GK,21.0,3330,37.0,,,,,,,50.4375,91.5625,59.82142857142857,45.68122791820201,75.02604166666667,75.0390625,84.78125,62.5,,No role assigned,chance_creation_index,91.5625,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Adam Smith,ENG,DF,28.0,2055,22.8,Aggressive Defender,Aerial Defender,7.5,92.5,26.8,19.3,37.466794629985735,61.50500574429673,72.87929943025955,45.48060876603183,58.06253077301822,58.197932053175776,65.59822747415066,31.868537666174298,61.31937855681401,High,ball_progression_index,72.87929943025955,Rol explicado principalmente por: Ball Progression P73 · Availability P66 · Passing Security P45
ENG-Premier League,1920,Bournemouth,Andrew Surman,ENG,MF,32.0,235,2.6,,,,,,,26.55769968787838,18.423748829294812,18.03939816969133,33.202176365485236,22.493666304741225,49.09066232356135,20.759219088937094,61.46963123644252,,No role assigned,discipline_risk_index,61.46963123644252,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Arnaut Danjuma,NED,MF,22.0,630,7.0,,,,,,,43.66368426076043,34.829776723780434,42.19016596866761,31.8232690732931,27.768729641693813,53.121606948968505,32.89587852494577,70.7700650759219,,No role assigned,discipline_risk_index,70.7700650759219,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Callum Wilson,ENG,FW,27.0,2908,32.3,Box Finisher,Creator Forward,7.8,92.2,44.4,36.6,48.2044956495879,64.57595683695837,76.54454801647519,44.56737811992303,71.58573596358117,58.156297420333836,92.12443095599393,26.59332321699545,68.30162781418007,High,availability_index_role,92.12443095599393,Rol explicado principalmente por: Availability P92 · Chance Creation P65 · Finishing P48
ENG-Premier League,1920,Bournemouth,Charlie Daniels,ENG,DF,32.0,126,1.4,,,,,,,34.63810930576071,31.019202363367796,14.238235914749948,26.505125885558055,7.791728212703102,48.11669128508124,9.172821270310191,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Chris Mepham,WAL,DF,21.0,912,10.1,Aerial Defender,Aggressive Defender,4.1,95.9,35.3,31.1,79.87264360776038,29.431314623338253,27.352817050010547,59.52758191842301,33.6656819300837,38.58936484490399,32.319054652880354,64.198670605613,39.73315120710463,High,finishing_index_role,79.87264360776038,Rol explicado principalmente por: Passing Security P60 · Availability P32 · Ball Progression P27
ENG-Premier League,1920,Bournemouth,Dan Gosling,ENG,MF,29.0,1264,14.0,Ball Winner,Creative Playmaker,14.3,85.7,41.9,27.6,87.21267898120823,53.12443589597688,46.84349309756475,35.84311061040532,42.77958740499457,42.128121606948966,50.59652928416485,50.05422993492408,44.42771099737831,High,finishing_index_role,87.21267898120823,Rol explicado principalmente por: Availability P51 · Ball Progression P47 · Passing Security P36
ENG-Premier League,1920,Bournemouth,David Brooks,WAL,"MF,FW",22.0,506,5.6,,,,,,,57.460610707409906,32.27808814400993,28.032721468475653,20.814786675417015,27.676908752327748,64.49022346368714,28.324022346368718,56.703910614525135,,No role assigned,crossing_width_index,64.49022346368714,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Diego Rico,ESP,DF,26.0,2332,25.9,Aggressive Defender,Aerial Defender,12.4,87.6,42.3,29.9,29.75781567682902,92.9796487772854,88.1145811352606,31.447306311066573,75.95396356474642,97.2950516986706,72.84342688330872,34.398079763663226,64.13510477654529,High,crossing_width_index,97.2950516986706,Rol explicado principalmente por: Ball Progression P88 · Availability P73 · Passing Security P31
ENG-Premier League,1920,Bournemouth,Dominic Solanke,ENG,FW,21.0,1651,18.3,Box Finisher,Creator Forward,4.6,95.4,27.3,22.7,34.51416207665708,53.700893609846574,66.37762844136137,51.801342926937686,65.50328780981285,51.25189681335356,68.19423368740516,52.010622154779966,52.13642979130294,High,availability_index_role,68.19423368740516,Rol explicado principalmente por: Availability P68 · Chance Creation P54 · Finishing P35
ENG-Premier League,1920,Bournemouth,Harry Wilson,WAL,"MF,FW",22.0,1646,18.3,Attacking Progressor,Attacking Progressor,4.8,95.2,30.4,25.7,74.47778976003288,48.153320918684045,59.337589784517164,47.2699592886126,59.89292364990689,59.74162011173184,65.67039106145252,47.41620111731844,55.79461145103604,High,finishing_index_role,74.47778976003288,Rol explicado principalmente por: Passing Volume P60 · Ball Progression P59 · Chance Creation P48
ENG-Premier League,1920,Bournemouth,Jack Simpson,ENG,DF,22.0,241,2.7,,,,,,,31.753597721002638,21.5288035450517,12.972146022367586,11.236762006218868,11.773756770064006,30.67762186115214,12.274741506646972,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Jack Stacey,ENG,DF,23.0,1549,17.2,Aggressive Defender,Aerial Defender,2.6,97.4,27.1,24.5,39.94225882986098,74.2245199409158,60.017936273475414,27.545362811486157,46.04874446085671,55.25295420974889,51.344165435745936,56.29615952732644,46.30248817356917,High,chance_creation_index,74.2245199409158,Rol explicado principalmente por: Ball Progression P60 · Availability P51 · Passing Security P28
ENG-Premier League,1920,Bournemouth,Jefferson Lerma,COL,MF,24.0,2703,30.0,Ball Winner,Attacking Progressor,21.9,78.1,46.1,24.2,41.88393920309521,51.878382981428,69.46641848921979,48.04623650712611,80.21172638436481,33.30618892508143,84.97830802603038,2.684381778741866,67.49698767412542,High,availability_index_role,84.97830802603038,Rol explicado principalmente por: Availability P85 · Ball Progression P69 · Passing Security P48
ENG-Premier League,1920,Bournemouth,Jordon Ibe,ENG,DF,23.0,50,0.6,,,,,,,34.63810930576071,16.802067946824224,16.000211014982064,40.80350476307012,4.554406696208765,49.907680945347124,5.103397341211226,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Joshua King,NOR,"FW,MF",27.0,2011,22.3,Attacking Progressor,Ball Winner,0.0,100.0,42.3,42.3,59.481000843421384,70.91653865847415,65.70111915734036,48.59862799174056,61.65514592933948,46.71658986175115,75.50691244239633,67.28110599078342,66.090934581718,High,availability_index_role,75.50691244239633,Rol explicado principalmente por: Chance Creation P71 · Ball Progression P66 · Passing Volume P62
ENG-Premier League,1920,Bournemouth,Junior Stanislas,ENG,"MF,FW",29.0,712,7.9,,,,,,,70.05466701066229,37.662942271880816,38.88667198723065,27.421928437941528,39.15270018621974,66.79469273743017,34.608938547486034,56.703910614525135,,No role assigned,finishing_index_role,70.05466701066229,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Lewis Cook,ENG,"MF,FW",22.0,1352,15.0,Ball Winner,Attacking Progressor,16.8,83.2,44.4,27.6,16.949671740373535,30.834885164494104,57.940941739824424,63.517965957324996,68.3193668528864,29.85335195530726,54.972067039106136,31.005586592178773,58.810324912085186,High,passing_volume_index,68.3193668528864,Rol explicado principalmente por: Passing Security P64 · Ball Progression P58 · Availability P55
ENG-Premier League,1920,Bournemouth,Lloyd Kelly,ENG,DF,20.0,639,7.1,,,,,,,27.24064645426388,37.64565895289676,23.886895969613843,25.34396792236157,20.58714918759232,41.128138847858196,24.27621861152142,56.29615952732644,,No role assigned,discipline_risk_index,56.29615952732644,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Mark Travers,IRL,GK,20.0,90,1.0,,,,,,,50.4375,41.354166666666664,32.589285714285715,23.75259186788116,9.322916666666666,50.0390625,6.96875,62.5,,No role assigned,discipline_risk_index,62.5,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Nathan Aké,NED,DF,24.0,2503,27.8,Aerial Defender,Ball-Playing Centre-Back,2.8,97.2,36.7,33.9,60.549609654543374,57.66043000164122,62.50791306182739,74.24363129977688,70.02708025603151,40.555760709010336,77.7917282127031,56.29615952732644,71.5144241914358,High,availability_index_role,77.7917282127031,Rol explicado principalmente por: Availability P78 · Passing Security P74 · Ball Progression P63
ENG-Premier League,1920,Bournemouth,Philip Billing,DEN,MF,23.0,2530,28.1,Ball Winner,Attacking Progressor,24.6,75.4,61.5,36.9,40.870944403961126,58.280651471942214,69.15619668062665,35.38938737302421,71.64314151284835,45.75190010857763,82.51626898047722,32.456616052060745,62.35395101137603,High,availability_index_role,82.51626898047722,Rol explicado principalmente por: Availability P83 · Ball Progression P69 · Passing Security P35
ENG-Premier League,1920,Bournemouth,Ryan Fraser,SCO,"MF,FW",25.0,2067,23.0,Creative Playmaker,Attacking Progressor,3.8,96.2,35.2,31.4,40.8512694071453,75.63625077591558,83.83878691141261,40.469292760875,78.28212290502793,92.17877094972067,72.0949720670391,47.41620111731844,66.64811014940106,High,crossing_width_index,92.17877094972067,Rol explicado principalmente por: Ball Progression P84 · Chance Creation P76 · Passing Security P40
ENG-Premier League,1920,Bournemouth,Sam Surridge,ENG,"FW,MF",21.0,27,0.3,,,,,,,49.78391609763755,19.06041986687148,7.8341013824884795,11.844605021242135,4.013056835637481,22.609447004608295,4.7695852534562215,67.28110599078342,,No role assigned,discipline_risk_index,67.28110599078342,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Bournemouth,Simon Francis,ENG,DF,34.0,969,10.8,Aerial Defender,Aerial Defender,6.2,93.8,46.1,39.9,29.12805780619438,44.784999179386176,38.241190124498836,31.303348213776655,37.321516494337764,54.83751846381093,35.00738552437223,13.275480059084195,34.850641287549244,High,crossing_width_index,54.83751846381093,Rol explicado principalmente por: Ball Progression P38 · Availability P35 · Passing Security P31
ENG-Premier League,1920,Bournemouth,Steve Cook,ENG,DF,28.0,2428,27.0,Aerial Defender,Ball-Playing Centre-Back,9.7,90.3,37.9,28.3,60.022852577380526,33.85852617758083,53.766617429837524,50.848430254134506,71.43032988675527,34.88737075332349,76.32200886262926,9.656573116691291,60.312352182200435,High,availability_index_role,76.32200886262926,Rol explicado principalmente por: Availability P76 · Ball Progression P54 · Passing Security P51
ENG-Premier League,1920,Brighton,Aaron Connolly,IRL,FW,19.0,1258,14.0,Box Finisher,Mobile Forward,6.5,93.5,43.4,36.8,33.22687989104994,41.99123250716573,43.258183394753964,55.853650637935736,36.34294385432474,44.87860394537177,56.297420333839156,66.42640364188165,43.83851091068495,High,discipline_risk_index,66.42640364188165,Rol explicado principalmente por: Availability P56 · Chance Creation P42 · Finishing P33
ENG-Premier League,1920,Brighton,Aaron Mooy,AUS,"MF,FW",28.0,2085,23.2,Creative Playmaker,Attacking Progressor,8.5,91.5,34.6,26.1,36.128124062207995,69.94103041589075,85.2952913008779,64.30484826927061,85.91713221601488,85.99860335195532,76.59217877094973,14.3854748603352,73.18038999534643,High,crossing_width_index,85.99860335195532,Rol explicado principalmente por: Ball Progression P85 · Chance Creation P70 · Passing Security P64
ENG-Premier League,1920,Brighton,Adam Webster,ENG,DF,24.0,2668,29.6,Aerial Defender,Ball-Playing Centre-Back,11.1,88.9,63.0,51.9,79.20670494214107,55.6171015919908,73.39101076176408,67.22324942791793,89.4140817331364,41.128138847858196,82.39290989660266,43.38995568685377,74.3357233620949,High,passing_volume_index,89.4140817331364,Rol explicado principalmente por: Availability P82 · Ball Progression P73 · Passing Security P67
ENG-Premier League,1920,Brighton,Alexis Mac Allister,ARG,"MF,FW",20.0,352,3.9,,,,,,,23.62451915859293,25.015518311607693,15.003990422984836,13.578805942014753,21.92737430167598,59.287709497206706,23.351955307262568,68.50558659217876,,No role assigned,discipline_risk_index,68.50558659217876,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",25.0,311,3.5,,,,,,,61.47643864389803,25.60163850486431,29.24621461487821,17.341532600131757,29.07066052227343,34.10138248847927,24.562211981566822,67.28110599078342,,No role assigned,discipline_risk_index,67.28110599078342,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Bernardo,BRA,"DF,MF",24.0,679,7.5,,,,,,,42.431087431087434,38.37301587301587,48.62244897959183,24.521637122002087,30.71428571428571,38.83928571428571,32.785714285714285,61.42857142857143,,No role assigned,discipline_risk_index,61.42857142857143,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Dale Stephens,ENG,MF,30.0,2530,28.1,Ball Winner,Creative Playmaker,15.4,84.6,32.6,17.2,20.228831454938476,54.413268297803626,71.01752753218551,74.85624396011501,88.17408613825552,31.541802388707925,81.1930585683297,32.456616052060745,75.68894335354342,High,passing_volume_index,88.17408613825552,Rol explicado principalmente por: Availability P81 · Passing Security P75 · Ball Progression P71
ENG-Premier League,1920,Brighton,Dan Burn,ENG,DF,27.0,2880,32.0,Aerial Defender,Aggressive Defender,3.3,96.7,32.4,29.0,32.62531281148931,68.61562448711636,87.12808609411267,41.945092876206616,85.9490398818316,64.21713441654359,87.7178729689808,38.01698670605613,72.2636839797667,High,availability_index_role,87.7178729689808,Rol explicado principalmente por: Availability P88 · Ball Progression P87 · Passing Security P42
ENG-Premier League,1920,Brighton,Davy Pröpper,NED,MF,27.0,2829,31.4,Ball Winner,Creative Playmaker,25.8,74.2,56.4,30.6,40.83881089201485,71.45003817745092,90.15045757716767,63.82545746395792,89.54940282301847,59.47339847991313,88.77440347071584,45.66160520607376,80.91677283728048,High,ball_progression_index,90.15045757716767,Rol explicado principalmente por: Ball Progression P90 · Availability P89 · Passing Security P64
ENG-Premier League,1920,Brighton,Ezequiel Schelotto,ITA,DF,30.0,361,4.0,,,,,,,43.21462753890893,31.043820777941896,33.197932053175776,10.48069445962693,15.731166912850812,44.48855243722304,17.836041358936484,56.29615952732644,,No role assigned,discipline_risk_index,56.29615952732644,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Florin Andone,ROU,FW,26.0,73,0.8,,,,,,,89.02098597072504,19.406508177373127,13.245176674615218,24.102746118602262,14.162873039959536,32.113050075872536,19.37784522003035,41.61608497723824,,No role assigned,finishing_index_role,89.02098597072504,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Gaëtan Bong,CMR,"DF,MF",31.0,59,0.7,,,,,,,35.357142857142854,29.84126984126984,11.377551020408164,26.715328467153284,5.238095238095237,34.375,4.642857142857143,71.78571428571428,,No role assigned,discipline_risk_index,71.78571428571428,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Glenn Murray,ENG,FW,35.0,797,8.9,,,,,,,29.373635989682004,39.032203675602766,42.47778018642965,25.62795030389967,40.085988872028324,40.459028831562975,44.20333839150228,66.42640364188165,,No role assigned,discipline_risk_index,66.42640364188165,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Jürgen Locadia,CUW,"FW,MF",25.0,86,1.0,,,,,,,46.88004156061609,8.883768561187914,4.065174456879526,4.456062202467626,6.163594470046083,22.609447004608295,9.608294930875577,67.28110599078342,,No role assigned,discipline_risk_index,67.28110599078342,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Leandro Trossard,BEL,"FW,MF",24.0,2011,22.3,Creative Playmaker,Attacking Progressor,12.1,87.9,65.3,53.2,59.95512151123171,74.3983614951357,87.55760368663594,55.91505850670597,83.56374807987713,80.70276497695852,78.11059907834101,67.28110599078342,72.62367456282588,High,ball_progression_index,87.55760368663594,Rol explicado principalmente por: Ball Progression P88 · Chance Creation P74 · Passing Security P56
ENG-Premier League,1920,Brighton,Lewis Dunk,ENG,DF,27.0,3230,35.9,Aerial Defender,Ball-Playing Centre-Back,11.7,88.3,75.2,63.5,62.739325111697035,62.33382570162481,72.71048744460856,83.84451151020569,94.39931068439192,34.88737075332349,95.05908419497784,29.098966026587888,83.8713610499307,High,availability_index_role,95.05908419497784,Rol explicado principalmente por: Availability P95 · Passing Security P84 · Ball Progression P73
ENG-Premier League,1920,Brighton,Martín Montoya,ESP,"DF,MF",28.0,1896,21.1,Attacking Progressor,Creative Playmaker,6.8,93.2,42.4,35.7,46.71985421985422,70.75396825396825,83.31632653061224,63.084376086200905,81.48809523809523,57.857142857142854,75.85714285714286,35.714285714285715,78.5194633408919,High,ball_progression_index,83.31632653061224,Rol explicado principalmente por: Ball Progression P83 · Passing Volume P81 · Chance Creation P71
ENG-Premier League,1920,Brighton,Mathew Ryan,AUS,GK,27.0,3420,38.0,,,,,,,50.4375,58.767361111111114,60.111607142857146,76.62865714413739,94.21875,50.0390625,93.78125,62.5,,No role assigned,passing_volume_index,94.21875,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Neal Maupay,FRA,FW,22.0,2766,30.7,Box Finisher,Creator Forward,11.6,88.4,52.6,41.0,41.64771602858056,63.17653009610521,84.52200303490136,79.90749179945611,82.78958017197775,54.704097116843705,90.81942336874052,37.70864946889226,65.21455649780876,High,availability_index_role,90.81942336874052,Rol explicado principalmente por: Availability P91 · Chance Creation P63 · Finishing P42
ENG-Premier League,1920,Brighton,Pascal Groß,GER,"MF,FW",28.0,1796,20.0,Creative Playmaker,Creative Playmaker,2.0,98.0,55.3,53.4,42.35732094875967,82.41775294847919,80.62649640861932,58.775667134699624,83.14711359404096,94.16899441340783,67.6536312849162,34.14804469273743,73.93997216393272,High,crossing_width_index,94.16899441340783,Rol explicado principalmente por: Chance Creation P82 · Ball Progression P81 · Passing Security P59
ENG-Premier League,1920,Brighton,Shane Duffy,IRL,DF,27.0,1238,13.8,Aerial Defender,Ball-Playing Centre-Back,10.6,89.4,42.9,32.3,70.29689164940959,30.559658624651238,33.899556868537665,46.47955920939496,43.1806991629739,42.44830132939438,43.50812407680945,56.29615952732644,41.29574671824736,High,finishing_index_role,70.29689164940959,Rol explicado principalmente por: Passing Security P46 · Availability P44 · Ball Progression P34
ENG-Premier League,1920,Brighton,Solly March,ENG,"FW,MF",25.0,1143,12.7,Attacking Progressor,Attacking Progressor,9.1,90.9,43.4,34.4,20.638486675312674,53.789042498719915,70.16129032258064,55.35495470790903,74.63517665130568,85.0806451612903,50.99078341013825,44.066820276497694,66.19516982420208,High,crossing_width_index,85.0806451612903,Rol explicado principalmente por: Passing Volume P75 · Ball Progression P70 · Chance Creation P54
ENG-Premier League,1920,Brighton,Steven Alzate,COL,"MF,DF",20.0,1188,13.2,Attacking Progressor,Ball Winner,5.6,94.4,36.6,31.0,37.496600621600614,51.65598290598291,61.12637362637363,62.54990067984263,47.11538461538461,44.23076923076923,49.90384615384616,57.45192307692308,53.29924704924705,High,passing_security_index,62.54990067984263,Rol explicado principalmente por: Ball Progression P61 · Chance Creation P52 · Passing Volume P47
ENG-Premier League,1920,Brighton,Tariq Lamptey,GHA,DF,18.0,588,6.5,,,,,,,26.77443522826683,71.60676185786969,38.20953787718928,21.202081475716536,18.90078778926637,57.21011816838996,23.389955686853767,56.29615952732644,,No role assigned,chance_creation_index,71.60676185786969,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Brighton,Yves Bissouma,MLI,MF,22.0,1259,14.0,Ball Winner,Attacking Progressor,27.6,72.4,61.3,33.6,54.41356758895707,29.88632757430523,50.34124398945246,57.42395652942262,49.828085414404626,33.30618892508143,50.05422993492408,45.66160520607376,52.60647681793305,High,passing_security_index,57.42395652942262,Rol explicado principalmente por: Passing Security P57 · Ball Progression P50 · Availability P50
ENG-Premier League,1920,Burnley,Aaron Lennon,ENG,MF,32.0,496,5.5,,,,,,,28.990004473772586,32.502340414790524,27.136652706685283,13.071551563194353,21.281216069489684,42.49457111834961,30.271149674620393,45.66160520607376,,No role assigned,discipline_risk_index,45.66160520607376,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Burnley,Ashley Barnes,ENG,FW,29.0,1352,15.0,Box Finisher,Creator Forward,17.4,82.6,60.2,42.7,53.420546248614606,36.69701568032372,48.02731411229134,21.800465608207446,49.96206373292868,41.5402124430956,57.071320182094084,33.080424886191196,49.06296070367747,High,availability_index_role,57.071320182094084,Rol explicado principalmente por: Availability P57 · Finishing P53 · Chance Creation P37
ENG-Premier League,1920,Burnley,Ashley Westwood,ENG,MF,29.0,3150,35.0,Ball Winner,Creative Playmaker,18.8,81.2,60.5,41.7,65.87739773952913,89.12039281363917,83.09291143167364,46.91096814108118,90.69851610568223,82.26112920738328,94.82646420824294,30.450108459869853,74.94344792699924,High,availability_index_role,94.82646420824294,Rol explicado principalmente por: Availability P95 · Ball Progression P83 · Passing Security P47
ENG-Premier League,1920,Burnley,Ben Mee,ENG,DF,29.0,2880,32.0,Aerial Defender,Aerial Defender,2.5,97.5,36.3,33.9,52.45882848657164,57.426555063187266,49.593796159527315,36.05308640595993,69.52855736090596,38.58936484490399,86.29985228951254,31.868537666174298,57.31557828499993,High,availability_index_role,86.29985228951254,Rol explicado principalmente por: Availability P86 · Ball Progression P50 · Passing Security P36
ENG-Premier League,1920,Burnley,Charlie Taylor,ENG,DF,25.0,1945,21.6,Aggressive Defender,Aerial Defender,7.7,92.3,36.1,28.4,27.24064645426388,72.31659281142294,67.41401139480902,30.197905810604926,61.090595765632685,69.55317577548007,62.88035450516986,49.40915805022156,53.49742390352793,High,chance_creation_index,72.31659281142294,Rol explicado principalmente por: Ball Progression P67 · Availability P63 · Passing Security P30
ENG-Premier League,1920,Burnley,Chris Wood,NZL,FW,27.0,2437,27.1,Box Finisher,Creator Forward,8.4,91.6,33.4,25.0,68.78285886145854,45.616253582869675,50.10838933448948,37.28074783165986,62.632776934749636,44.13884673748103,83.14112291350531,52.010622154779966,65.84674511927784,High,availability_index_role,83.14112291350531,Rol explicado principalmente por: Availability P83 · Finishing P69 · Chance Creation P46
ENG-Premier League,1920,Burnley,Danny Drinkwater,ENG,MF,29.0,58,0.6,,,,,,,32.136772463041055,12.896491647172883,7.111834961997829,15.5679090896114,11.907347086500181,24.55211726384365,11.930585683297178,70.7700650759219,,No role assigned,discipline_risk_index,70.7700650759219,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1920,Burnley,Dwight McNeil,ENG,MF,19.0,3338,37.1,Attacking Progressor,Ball Winner,5.7,94.3,64.4,58.7,45.62456981246122,93.66527775544829,80.9368698619513,36.83767315209942,74.62902642055737,93.37676438653638,99.07809110629067,41.75704989154013,83.0770580126523,High,availability_index_role,99.07809110629067,Rol explicado principalmente por: Chance Creation P94 · Ball Progression P81 · Passing Volume P75
ENG-Premier League,1920,Burnley,Erik Pieters,NED,"DF,MF",30.0,1878,20.9,Ball Winner,Creative Playmaker,15.5,84.5,48.8,33.3,28.75282125282125,77.65873015873017,58.5204081632653,42.37356621480709,67.14285714285714,56.517857142857146,70.64285714285714,51.964285714285715,57.17894384030984,High,chance_creation_index,77.65873015873017,Rol explicado principalmente por: Availability P71 · Ball Progression P59 · Passing Security P42
ENG-Premier League,1920,Burnley,Jack Cork,ENG,MF,30.0,2613,29.0,Ball Winner,Creative Playmaker,18.3,81.7,46.4,28.1,35.89281613687646,46.905648623154676,52.55157437567861,39.42774480188464,60.81252262034021,40.86590662323562,81.4642082429501,61.46963123644252,57.81450914017112,High,availability_index_role,81.4642082429501,Rol explicado principalmente por: Availability P81 · Ball Progression P53 · Passing Security P39
